Comment;Description;Designator;Part Number;Quantity
;;;;
TS3A5223;Analog Switch;IC5, IC10;TS3A5223RSWR;2
DC Jack;Connector;CN1;PJ-002AH;1
CONN_82;;CN2;;1
CON_14;CONN TFT 3.5;CONN1, CONN2;;2
CON_18;CON_TFT_2.8;CONN3;;1
100nF 25V X7R Ceramic;Capacitor;c1, c2, c3, c4, c5, c6, c12, c35;08053C104KAT2A;8
18pF 50V COG Ceramic;Capacitor;c7, c8;CL21C180JBANNNC;2
1uF 6V3 X7R Ceramic;Capacitor;c9;GRM21BR71C105KA01L;1
10nF 25V X7R Ceramic;Capacitor;c10, c11;CL21B103KAANNNC;2
100nF 16V Ceramic;Capacitor;C13, C15, C18, C20;CL21B104KOANNNC;4
2.2uF 16V Ceramic;Capacitor;C23, C24, C25, C26;EMK212BJ225KG-T;4
330nF 50V Ceramic;Capacitor;C27;GRM219R71H334KA88D;1
100nF 6V3 Ceramic;Capacitor;C28;C0805C104K9RACTU;1
15nF 50V Ceramic;Capacitor;C32;GRM2195C1H153JA01D;1
100pF 25V Ceramic;Capacitor;C33;GRM0335C1E101JA01D;1
2.2u 6V3 X5R Ceramic;Capacitor;C34;GRM21BR60J225KA01L;1
10uF 6V3 Tantalium;Capacitor;C14, C16, C17, C19;TAJR106K006RNJ;4
1uF 16V Tantalium;Capacitor;C21, C22;F921C105MPA;2
47uF 50V ElecAlum;Capacitor;C29;EEE-1HA470XP;1
100uF 6V3 ElecAlum;Capacitor;C30;EEE-0JA101WR;1
4.7uF 50V ElecAlum;Capacitor;C31;EEE-FK1H4R7R;1
Choke;Choke;CH1, CH2;BRC2012T2R2MD;2
1N4007;Diode signal;D1;1N4007-TP;1
STPS3L40;Diode;D2;STPS3L40SY;1
Ferrite Bead;Ferrite Bead;FB1;BKP2125HS600-T;1
47uH;Inductor;L1;744771147;1
AUD_IN;Connector;CON1;SJ-2523-SMT-TR;1
AUD_OUT;Connector;CON2;SJ-2523-SMT-TR;1
L5972D;Fuente Switching;IC9;L5972D013TR;1
LM7805;Regulador;IC8;LM7805CT;1
LPC1769FBD100;CPU Cortex M3;U1;LPC1769FBD100;1
Mic;Microfono;MIC1;CMA-4544PF-W;1
LM358;Dual Amplifier;IC2, IC4;LM358DT;2
PCM1802;PCM1802;IC1;PCM1802DBR;1
Polyswitch;Polishwitch;PS1;MINISMDC110F/24-2;1
74LVC4066;74LVC4066;IC3, IC7;74LVC4066BQ,115;2
10k 5% 1/8W;Resistor;R1, R2, R3, R4, R5, R7;RMCF0805JT10K0;6
1k 1/8W;Resistor;R6, R19, R31;RC0805JR-071KL;3
100k 1/8W;Resistor;R8, R9, R10, R14, R15, R18, R20, R21, R23, R27, R28, R29;RC0805FR-07100KL;12
590 1/8W;Resistor;R11, R22;RC0805FR-07590RL;2
33k 1/8W;Resistor;R12, R26;RMCF0805JT33K0;2
2k2 1/8W;Resistor;R13, R24, R35;RMCF0805JT2K20;3
3k9 1/8W;Resistor;R16, R25;RMCF0805JT3K90;2
100 1/8W;Resistor;R17, R30;RC0805FR-07100RL;2
8k2 1/4W;Resistor;R32;ERJ-PB6D8201V;1
10k 1/4W;Resistor;R33;RNCP0805FTD10K0;1
5k1 1/4W;Resistor;R34;ERJ-PB6D5101V;1
10k 5% 1/8W;Resistor;R36;RMCF0805JT10K0;1
TP;Test Point;TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35;;35
12MHz Crystal;Crystal;X1;ABM3C-12.000MHz-D4Y-T;1
